Full_Town_Name,High_Count,Med_Count,Low_Count,Safe_Count,Total_Count,Dependency_Score,At_Risk_Cap,Safe_Cap,Cap_Gap,Norm_Dependency,Norm_Gap,Total_Risk_Score
南投縣中寮鄉,21,0,0,0,21,2.99985714965954,1380,0,1380,0.9999923813151755,0.0200052187527181,1.0199976000678936
南投縣仁愛鄉,0,2,0,0,2,1.999000499750125,300,0,300,0.6663601532567051,0.004348960598416978,0.670709113855122
南投縣信義鄉,9,1,0,2,12,2.416465294558787,930,110,820,0.8055206510568564,0.011887158969006408,0.8174078100258628
南投縣南投市,28,2,7,0,37,2.5674981757249804,6500,0,6500,0.8558669585506699,0.09422747963236787,0.9500944381830377
南投縣名間鄉,12,1,5,8,26,1.653782546825122,790,320,470,0.551282899375665,0.0068133716041865995,0.5580962709798516
南投縣國姓鄉,26,3,0,0,29,2.896451846488052,1670,0,1670,0.9655225681873039,0.02420921399785451,0.9897317821851583
南投縣埔里鎮,15,9,15,0,39,1.9999487192636087,4815,0,4815,0.6666762390707931,0.0698008176045925,0.7364770566753855
南投縣水里鄉,21,5,0,0,26,2.8075843236798583,6620,0,6620,0.9358988756842685,0.09596706387173466,1.0318659395560033
南投縣竹山鎮,21,13,3,0,37,2.4864192859652445,2978,0,2978,0.8288395809122278,0.04317068220695254,0.8720102631191803
南投縣草屯鎮,21,24,7,0,52,2.2691871310167113,5100,0,5100,0.7564259661673174,0.07393233017308863,0.830358296340406
南投縣集集鎮,3,0,0,0,3,2.9990003332222592,370,0,370,0.9997067644118628,0.00536371807138094,1.0050704824832437
南投縣魚池鄉,15,3,4,0,22,2.499886368801418,1660,0,1660,0.83332878808539,0.024064248644573946,0.8573930367299639
南投縣鹿谷鄉,12,2,1,0,15,2.7331511232584496,3060,0,3060,0.91108681643446,0.04435939810385318,0.9554462145383131
嘉義市東區,3,6,12,2,23,1.4347202295552366,5707,1030,4677,0.478259206121473,0.0678002957293207,0.5460595018507937
嘉義市西區,3,2,8,8,21,0.9999523832198466,5299,5211,88,0.33333079377172514,0.0012756951088689803,0.33460648888059413
嘉義縣中埔鄉,22,10,0,0,32,2.6874160182494298,5670,0,5670,0.8958411716300533,0.08219535531008089,0.9780365269401342
嘉義縣六腳鄉,3,9,2,0,14,2.0712806228126563,7640,0,7640,0.6904544913458563,0.11075352990635239,0.8012080212522087
嘉義縣大林鎮,5,4,1,0,10,2.3997600239976005,6240,0,6240,0.7999520047995202,0.09045838044707315,0.8904103852465933
嘉義縣太保市,1,5,7,11,24,0.83329861255781,2327,2820,0,0.2777773148341041,0.0,0.2777773148341041
嘉義縣布袋鎮,0,0,0,1,1,0.0,0,128,0,0.0,0.0,0.0
嘉義縣新港鄉,8,2,0,10,20,1.399930003499825,5417,6930,0,0.4666620002333217,0.0,0.4666620002333217
嘉義縣朴子市,3,5,2,5,15,1.3999066728884741,6185,1069,5116,0.4666542230517966,0.07416427473833753,0.5408184977901341
嘉義縣東石鄉,0,0,2,0,2,0.9995002498750625,569,0,569,0.33318007662835253,0.008248528601664203,0.3414286052300167
嘉義縣梅山鄉,5,1,0,0,6,2.8328611898016995,1350,0,1350,0.9443248347497639,0.019570322692876403,0.9638951574426403
嘉義縣民雄鄉,12,5,11,21,49,1.1632415664986429,2912,2585,327,0.3877626987204343,0.0047403670522745064,0.39250306577270877
嘉義縣水上鄉,5,4,5,2,16,1.74989063183551,6910,1600,5310,0.5833202091535945,0.07697660259198051,0.660296811745575
嘉義縣溪口鄉,1,5,2,1,9,1.6664815020553272,1645,1000,645,0.5555160537718031,0.009350265286596503,0.5648663190583997
嘉義縣番路鄉,6,3,4,0,13,2.1536804861164525,3373,0,3373,0.7179222111119657,0.048896813661534894,0.7668190247735006
嘉義縣竹崎鄉,24,7,0,0,31,2.7741040611593175,6260,0,6260,0.9247383417739213,0.09074831115363428,1.0154866529275557
嘉義縣鹿草鄉,0,2,0,3,5,0.7998400319936012,110,1980,0,0.266624008531627,0.0,0.266624008531627
基隆市七堵區,3,0,0,0,3,2.9990003332222592,70,0,70,0.9997067644118628,0.0010147574729639616,1.0007215218848267
基隆市中山區,24,6,1,0,31,2.7418470371923487,1917,0,1917,0.9139855703579456,0.02778985822388449,0.94177542858183
基隆市中正區,17,4,0,0,21,2.8093900290462357,1949,0,1949,0.9365008015491326,0.028253747354382304,0.964754548903515
基隆市仁愛區,25,0,0,0,25,2.9998800047998078,1355,0,1355,1.0,0.019642805369516684,1.0196428053695168
基隆市信義區,14,3,0,0,17,2.823363331568731,1884,0,1884,0.9411587553673314,0.027311472558058623,0.9684702279253901
基隆市安樂區,16,1,0,0,17,2.941003470384095,1957,0,1957,0.9803737035076369,0.028369719637006754,1.0087434231446437
基隆市暖暖區,6,0,0,0,6,2.9995000833194467,589,0,589,0.9998733544409266,0.008538459308225334,1.008411813749152
宜蘭縣三星鄉,7,6,1,0,14,2.428397971573459,1802,0,1802,0.8094983691641073,0.026122756661157983,0.8356211258252653
宜蘭縣五結鄉,4,3,5,4,16,1.4374101618648834,2103,484,1619,0.4791558860904527,0.023469890696123628,0.5026257767865763
宜蘭縣冬山鄉,9,8,4,2,23,2.043389417851398,1791,149,1642,0.681157051142704,0.023803311008668927,0.7049603621513729
宜蘭縣南澳鄉,8,2,0,0,10,2.7997200279972003,331,0,331,0.9332773389327734,0.004798353193586733,0.9380756921263601
宜蘭縣員山鄉,11,3,3,0,17,2.4704429151226397,1121,0,1121,0.8235139109464149,0.016250616102751442,0.8397645270491664
宜蘭縣壯圍鄉,3,4,3,6,16,1.2499218798825074,1808,617,1191,0.4166572922525676,0.017265373575715403,0.433922665828283
宜蘭縣大同鄉,3,2,0,0,5,2.599480103979204,473,0,473,0.8665280277277878,0.006856861210170769,0.8733848889379586
宜蘭縣宜蘭市,19,8,13,0,40,2.1499462513437164,5248,0,5248,0.7166774163979235,0.076077817401641,0.7927552337995645
宜蘭縣礁溪鄉,5,5,4,1,15,1.9332044530364643,4219,448,3771,0.644427260404862,0.05466643472210142,0.6990936951269634
宜蘭縣羅東鎮,1,1,12,10,24,0.7083038206741386,4284,1589,2695,0.23611071760898852,0.03906816270911252,0.27517888031810106
宜蘭縣蘇澳鎮,24,7,7,0,38,2.447304018315308,2547,0,2547,0.8158006368253469,0.03692267548056015,0.852723312305907
宜蘭縣頭城鎮,15,2,0,0,17,2.882183400976413,1709,0,1709,0.960766229437484,0.02477457887564872,0.9855408083131327
屏東縣佳冬鄉,0,0,0,3,3,0.0,0,739,0,0.0,0.0,0.0
屏東縣來義鄉,3,3,0,0,6,2.4995834027662056,700,0,700,0.8332277953674389,0.010147574729639616,0.8433753700970784
屏東縣內埔鄉,4,3,4,6,17,1.2940415269690018,1640,710,930,0.4313644295433602,0.013481777855092632,0.4448462073984528
屏東縣南州鄉,2,0,0,0,2,2.9985007496251876,145,0,145,0.9995402298850576,0.002101997622568206,1.0016422275076258
屏東縣屏東市,17,8,3,0,28,2.4999107174743758,31551,0,31551,0.8333369046343583,0.4573801861355136,1.290717090769872
屏東縣崁頂鄉,1,0,2,1,4,1.2496875781054735,600,150,450,0.41657918853619924,0.006523440897625467,0.4231026294338247
屏東縣恆春鎮,3,1,0,0,4,2.7493126718320418,2250,0,2250,0.9164742147796384,0.03261720448812734,0.9490914192677657
屏東縣新園鄉,2,1,4,1,8,1.4998125234345707,660,100,560,0.4999575053118361,0.008118059783711693,0.5080755650955477
屏東縣新埤鄉,0,1,2,0,3,1.332889036987671,1200,0,1200,0.4443141175163835,0.017395842393667912,0.4617099599100514
屏東縣春日鄉,2,1,3,0,6,1.8330278286952173,660,0,660,0.6110337166027884,0.009567713316517353,0.6206014299193058
屏東縣東港鎮,8,0,0,0,8,2.9996250468691414,2611,0,2611,0.9999150106236722,0.03785045374155577,1.0377654643652279
屏東縣枋寮鄉,5,2,0,2,9,2.110876569270081,2277,614,1663,0.7036536681109506,0.024107738250558116,0.7277614063615088
屏東縣枋山鄉,5,2,0,0,7,2.713898014569347,530,0,530,0.9046688568299767,0.007683163723869995,0.9123520205538467
屏東縣林邊鄉,0,2,1,0,3,1.6661112962345885,500,0,500,0.5553926468954794,0.007248267664028297,0.5626409145595077
屏東縣泰武鄉,5,1,0,0,6,2.8328611898016995,1000,0,1000,0.9443248347497639,0.014496535328056594,0.9588213700778205
屏東縣滿州鄉,12,0,0,0,12,2.9997500208315975,860,0,860,0.999956670277477,0.012467020382128671,1.0124236906596058
屏東縣潮州鎮,4,4,3,0,11,2.0907190255431325,4991,0,4991,0.6969342181013848,0.07235220782233047,0.7692864259237152
屏東縣牡丹鄉,4,1,1,0,6,2.4995834027662056,1604,0,1604,0.8332277953674389,0.02325244266620278,0.8564802380336416
屏東縣獅子鄉,5,1,0,0,6,2.8328611898016995,220,0,220,0.9443248347497639,0.0031892377721724507,0.9475140725219364
屏東縣瑪家鄉,1,1,0,1,3,1.6661112962345885,306,150,156,0.5553926468954794,0.0022614595111768287,0.5576541064066562
屏東縣竹田鄉,1,1,1,2,5,1.1997600479904018,460,800,0,0.3999360127974405,0.0,0.3999360127974405
屏東縣萬丹鄉,0,2,7,2,11,0.9999090991728026,1590,140,1450,0.3333163651789232,0.021019976225682063,0.3543363414046053
屏東縣萬巒鄉,4,4,2,0,10,2.1997800219978005,1500,0,1500,0.7332893377328935,0.02174480299208489,0.7550341407249784
屏東縣車城鄉,5,1,0,0,6,2.8328611898016995,889,0,889,0.9443248347497639,0.012887419906642312,0.9572122546564062
屏東縣長治鄉,0,0,1,2,3,0.33322225924691773,200,400,0,0.11107852937909587,0.0,0.11107852937909587
屏東縣麟洛鄉,0,0,0,4,4,0.0,0,380,0,0.0,0.0,0.0
彰化縣二林鎮,12,2,0,10,24,1.66659722511562,2393,1009,1384,0.5555546296682082,0.020063204894030327,0.5756178345622386
彰化縣二水鄉,7,9,0,0,16,2.437347665770889,1346,0,1346,0.8124817198925067,0.019512336551564174,0.8319940564440709
彰化縣伸港鄉,0,0,3,15,18,0.1666574079217821,140,2380,0,0.055554691406032995,0.0,0.055554691406032995
彰化縣北斗鎮,0,9,1,0,10,1.8998100189981002,3200,0,3200,0.6332953371329534,0.0463889130497811,0.6796842501827345
彰化縣和美鎮,2,2,14,18,36,0.6666481486625372,2010,3560,0,0.22222493819616124,0.0,0.22222493819616124
彰化縣員林市,2,0,3,9,14,0.6428112277694451,930,1560,0,0.21427898007285198,0.0,0.21427898007285198
彰化縣埔心鄉,0,0,0,9,9,0.0,0,3326,0,0.0,0.0,0.0
彰化縣埔鹽鄉,0,1,3,7,11,0.4545041359876375,700,1150,0,0.15150743871769234,0.0,0.15150743871769234
彰化縣埤頭鄉,1,0,3,12,16,0.37497656396475215,165,430,0,0.12499718767577025,0.0,0.12499718767577025
彰化縣大城鄉,1,2,5,0,8,1.4998125234345707,800,0,800,0.4999575053118361,0.011597228262445275,0.5115547335742814
彰化縣大村鄉,1,2,8,6,17,0.8823010411152284,870,330,540,0.29411211105229107,0.007828129077150562,0.30194024012944165
彰化縣彰化市,9,8,6,0,23,2.1303421590365637,3745,0,3745,0.7101424575743084,0.054289524803571944,0.7644319823778803
彰化縣永靖鄉,0,0,0,21,21,0.0,0,1946,0,0.0,0.0,0.0
彰化縣溪州鄉,1,1,5,6,13,0.7691716021844474,836,658,178,0.2564007896828449,0.0025803832883940737,0.25898117297123896
彰化縣溪湖鎮,1,1,2,12,16,0.4374726579588775,150,820,0,0.14583005228839863,0.0,0.14583005228839863
彰化縣田中鎮,0,0,3,13,16,0.18748828198237608,351,2325,0,0.06249859383788513,0.0,0.06249859383788513
彰化縣田尾鄉,8,5,6,5,24,1.66659722511562,2133,355,1778,0.5555546296682082,0.025774839813284624,0.5813294694814929
彰化縣社頭鄉,2,1,1,5,9,0.9998889012331964,950,1450,0,0.3333096322630819,0.0,0.3333096322630819
彰化縣福興鄉,1,0,1,6,8,0.4999375078115236,200,800,0,0.16665250177061203,0.0,0.16665250177061203
彰化縣秀水鄉,0,0,9,20,29,0.31033412640943414,616,1792,0,0.10344884659149685,0.0,0.10344884659149685
彰化縣竹塘鄉,0,1,4,4,9,0.6665926008221309,550,400,150,0.22220642150872127,0.002174480299208489,0.22438090180792977
彰化縣線西鄉,0,0,0,11,11,0.0,0,1080,0,0.0,0.0,0.0
彰化縣芬園鄉,4,0,0,0,4,2.9992501874531365,800,0,800,0.9997900524868784,0.011597228262445275,1.0113872807493236
彰化縣花壇鄉,12,4,2,0,18,2.5554135881339923,1465,0,1465,0.8518386015591727,0.02123742425560291,0.8730760258147756
彰化縣芳苑鄉,2,0,1,3,6,1.1664722546242292,700,650,50,0.3888396378381381,0.0007248267664028297,0.3895644646045409
彰化縣鹿港鎮,4,0,5,16,25,0.6799728010879564,968,2439,0,0.22666666666666668,0.0,0.22666666666666668
新北市三峽區,4,0,0,0,4,2.9992501874531365,853,0,853,0.9997900524868784,0.012365544634832274,1.0121555971217107
新北市三芝區,7,1,1,0,9,2.6663704032885236,3147,0,3147,0.8888256860348851,0.045620596677394105,0.9344462827122793
新北市三重區,8,14,14,0,36,1.8332824088219772,30018,0,30018,0.6111185800394434,0.43515699747760284,1.0462755775170463
新北市中和區,1,9,12,0,22,1.4999318212808508,27485,0,27485,0.499997272851234,0.3984372734916355,0.8984345463428696
新北市五股區,10,1,1,0,12,2.7497708524289646,5566,0,5566,0.9166269477543539,0.08068771563596301,0.9973146633903169
新北市八里區,7,2,1,0,10,2.5997400259974004,6781,0,6781,0.8666146718661468,0.09830100605955176,0.9649156779256985
新北市土城區,9,2,8,6,25,1.5599376024959002,12635,1216,11419,0.52,0.16553593691107826,0.6855359369110783
新北市坪林區,6,1,0,0,7,2.85673475217826,1600,0,1600,0.9522830071894491,0.02319445652489055,0.9754774637143397
新北市平溪區,12,0,0,0,12,2.9997500208315975,2310,0,2310,0.999956670277477,0.03348699660781073,1.0334436668852878
新北市新店區,26,7,1,0,34,2.7352136701861713,39785,0,39785,0.9117743595776596,0.5767446580267316,1.4885190176043912
新北市新莊區,17,10,9,0,36,2.222160495541791,26048,0,26048,0.7407497939872042,0.3776057522252182,1.1183555462124224
新北市板橋區,10,12,8,0,30,2.0665977800739976,37011,0,37011,0.6888934813284002,0.5365312690267027,1.2254247503551028
新北市樹林區,5,7,2,0,14,2.2141275623169774,9359,0,9359,0.7380720424731567,0.13567307413528168,0.8737451166084385
新北市永和區,7,6,3,0,16,2.2498593837885132,17266,0,17266,0.7499831260546217,0.25029717897422515,1.000280305028847
新北市汐止區,21,2,1,0,24,2.833215282696554,17341,0,17341,0.9444428704359541,0.2513844191238294,1.1958272895597835
新北市泰山區,10,6,0,0,16,2.6248359477532652,11424,0,11424,0.8749803137303919,0.16560841958771855,1.0405887333181103
新北市淡水區,16,11,2,2,31,2.322505725621754,15870,130,15740,0.7741995419502596,0.2281754660636108,1.0023750080138705
新北市深坑區,9,0,0,0,9,2.999666703699589,2254,0,2254,0.9999288967892458,0.03267519062943956,1.0326040874186853
新北市瑞芳區,18,2,0,0,20,2.8998550072496374,7283,0,7283,0.9666570004833092,0.10557826679423618,1.0722352672775453
新北市石碇區,4,1,1,0,6,2.4995834027662056,2001,0,2001,0.8332277953674389,0.029007567191441246,0.8622353625588801
新北市石門區,12,2,1,0,15,2.7331511232584496,3614,0,3614,0.91108681643446,0.052390478675596534,0.9634772951100565
新北市萬里區,15,1,1,0,17,2.823363331568731,5789,0,5789,0.9411587553673314,0.08392044301411962,1.0250791983814511
新北市蘆洲區,1,8,11,0,20,1.4999250037498124,15162,0,15162,0.4999950002499875,0.21979646864399408,0.7197914688939816
新北市貢寮區,0,0,1,0,1,0.9990009990009991,40,0,40,0.3330136530136531,0.0005798614131222638,0.3335935144267754
新北市金山區,13,1,0,0,14,2.928362259838583,28272,0,28272,0.9761597981096589,0.40984604679481607,1.386005844904475
新北市雙溪區,12,0,0,0,12,2.9997500208315975,4813,0,4813,0.999956670277477,0.06977182453393639,1.0697284948114134
新竹市北區,5,5,3,0,13,2.1536804861164525,21900,0,21900,0.7179222111119657,0.31747412368443945,1.0353963347964052
新竹市東區,11,15,4,0,30,2.2332588913702875,68982,0,68982,0.7444494072419808,1.0,1.744449407241981
新竹市香山區,14,1,2,0,17,2.7057231927533674,38780,0,38780,0.9019438072270259,0.5621756400220347,1.4641194472490606
新竹縣五峰鄉,2,2,0,0,4,2.499375156210947,310,0,310,0.8331583770723985,0.004493925951697544,0.837652303024096
新竹縣北埔鄉,7,2,0,0,9,2.7774691700922123,2875,0,2875,0.925860089619672,0.04167753906816271,0.9675376286878348
新竹縣寶山鄉,7,1,0,2,10,2.2997700229977003,5876,1182,4694,0.7666206712662068,0.06804673682989766,0.8346674080961045
新竹縣尖石鄉,1,0,1,0,2,1.999000499750125,100,0,100,0.6663601532567051,0.0014496535328056594,0.6678098067895107
新竹縣峨眉鄉,8,1,0,0,9,2.8885679368959005,4737,0,4737,0.9628944932044589,0.0686700878490041,1.031564581053463
新竹縣新埔鎮,9,3,0,0,12,2.7497708524289646,7795,0,7795,0.9166269477543539,0.11300049288220115,1.029627440636555
新竹縣新豐鄉,4,1,1,0,6,2.4995834027662056,1830,0,1830,0.8332277953674389,0.026528659650343567,0.8597564550177824
新竹縣橫山鄉,8,0,0,0,8,2.9996250468691414,690,0,690,0.9999150106236722,0.01000260937635905,1.0099176200000313
新竹縣湖口鄉,7,5,3,0,15,2.266515565628958,2197,0,2197,0.7555354087505277,0.03184888811574034,0.7873842968662681
新竹縣竹北市,7,5,0,0,12,2.5831180734938757,8735,0,8735,0.8610737994056052,0.12662723609057436,0.9877010354961796
新竹縣竹東鎮,10,1,1,0,12,2.7497708524289646,7001,0,7001,0.9166269477543539,0.10149024383172421,1.018117191586078
新竹縣芎林鄉,5,6,1,0,12,2.3331389050912423,490,0,490,0.777744076882482,0.007103302310747731,0.7848473791932298
新竹縣關西鎮,7,1,1,0,9,2.6663704032885236,4860,0,4860,0.8888256860348851,0.07045316169435505,0.9592788477292401
桃園市中壢區,51,20,22,0,93,2.3118030988914096,58872,0,58872,0.7706318570051218,0.8534400278333478,1.6240718848384696
桃園市八德區,13,23,36,1,73,1.6575115409377952,6942,75,6867,0.5525259471331443,0.09954770809776463,0.6520736552309089
桃園市大園區,13,3,0,0,16,2.8123242297356414,6640,0,6640,0.937478907568277,0.09625699457829578,1.0337359021465728
桃園市大溪區,13,8,2,0,23,2.478153123777227,2310,0,2310,0.8260840833007261,0.03348699660781073,0.8595710799085369
桃園市平鎮區,23,25,0,0,48,2.479115018437116,7870,0,7870,0.8264047276792845,0.1140877330318054,0.9404924607110899
桃園市復興區,1,0,0,0,1,2.997002997002997,40,0,40,0.9990409590409592,0.0005798614131222638,0.9996208204540815
桃園市新屋區,1,0,0,0,1,2.997002997002997,0,0,0,0.9990409590409592,0.0,0.9990409590409592
桃園市桃園區,25,19,10,2,56,2.1963893501901754,25614,154,25460,0.7321590685880611,0.3690817894523209,1.101240858040382
桃園市楊梅區,8,7,2,3,20,1.99990000499975,4920,2150,2770,0.6666600003333167,0.040155402858716764,0.7068154031920335
桃園市蘆竹區,17,2,1,0,20,2.79986000699965,3030,0,3030,0.9333240004666434,0.04392450204401148,0.9772485025106549
桃園市觀音區,9,2,0,0,11,2.8179256431233526,600,0,600,0.9393461200496925,0.008697921196833956,0.9480440412465265
桃園市龍潭區,19,16,4,0,39,2.3845542421989183,17585,0,17585,0.7948832081228688,0.2549215737438752,1.049804781866744
桃園市龜山區,18,8,0,0,26,2.692204145994385,5026,0,5026,0.8974372780534082,0.07285958655881244,0.9702968646122206
臺中市中區,4,1,0,0,5,2.7994401119776042,3878,0,3878,0.9331840298606945,0.05621756400220347,0.9894015938628979
臺中市北區,7,3,0,0,10,2.6997300269973006,5810,0,5810,0.8999460053994602,0.08422487025600882,0.984170875655469
臺中市北屯區,17,12,3,0,32,2.437423830505297,29703,0,29703,0.8125071091528391,0.43059058884926504,1.2430976980021042
臺中市南區,3,9,1,0,13,2.1536804861164525,13171,0,13171,0.7179222111119657,0.1909338668058334,0.9088560779177992
臺中市南屯區,9,2,0,0,11,2.8179256431233526,4370,0,4370,0.9393461200496925,0.06334985938360732,1.0026959794333
臺中市后里區,2,3,8,10,23,0.8695274118516586,5779,5316,463,0.28985406431604427,0.006711895856890204,0.29656596017293446
臺中市和平區,4,0,0,0,4,2.9992501874531365,420,0,420,0.9997900524868784,0.00608854483778377,1.0058785973246622
